TIC ID,Author,Sectors,Odd-Even Check,U/V Shape Check,U/V Proof,Final Disposition
287948915,QLP,"14, 41, 54",PASS,"FAIL (V-Shaped EB, SSR U/V ratio (med): 1.00)","U/V Ratio (Median-Norm): 1.00 | U/V Ratio (Mean-Norm): 1.00 (Median OOT: 0.997721, Mean OOT: 0.998362)",False Positive (Eclipsing Binary)
258285711,QLP,"55, 82","FAIL (Odd depth: 0.0095, Even depth: -0.0004)","FAIL (V-Shaped EB, SSR U/V ratio (med): 1.00)","U/V Ratio (Median-Norm): 1.00 | U/V Ratio (Mean-Norm): 1.00 (Median OOT: 1.001411, Mean OOT: 1.001611)",False Positive (Eclipsing Binary)
305512837,QLP,"13, 39, 93","FAIL (Odd depth: 0.0013, Even depth: 0.0009)","FAIL (V-Shaped EB, SSR U/V ratio (med): 1.00)","U/V Ratio (Median-Norm): 1.00 | U/V Ratio (Mean-Norm): 0.99 (Median OOT: 0.999410, Mean OOT: 1.005996)",False Positive (Eclipsing Binary)
319431206,QLP,91,N/A (No Dips),"FAIL (V-Shaped EB, SSR U/V ratio (med): 0.98)","U/V Ratio (Median-Norm): 0.98 | U/V Ratio (Mean-Norm): 0.98 (Median OOT: 1.032659, Mean OOT: 1.040032)",False Positive (Eclipsing Binary)
1717732429,QLP,"81, 82, 83",N/A (No Dips),"FAIL (V-Shaped EB, SSR U/V ratio (med): 1.00)","U/V Ratio (Median-Norm): 1.00 | U/V Ratio (Mean-Norm): 1.00 (Median OOT: 1.000328, Mean OOT: 1.000357)",False Positive (Eclipsing Binary)
117843067,QLP,"32, 98",N/A (No Dips),"FAIL (V-Shaped EB, SSR U/V ratio (med): 1.00)","U/V Ratio (Median-Norm): 1.00 | U/V Ratio (Mean-Norm): 1.00 (Median OOT: 1.000489, Mean OOT: 1.002486)",False Positive (Eclipsing Binary)
420914536,GSFC-ELEANOR-LITE,12,"FAIL (Odd depth: 0.0025, Even depth: 0.0089)","FAIL (V-Shaped EB, SSR U/V ratio (med): 0.94)","U/V Ratio (Median-Norm): 0.94 | U/V Ratio (Mean-Norm): 0.94 (Median OOT: 0.997644, Mean OOT: 0.997707)",False Positive (Eclipsing Binary)
285034141,QLP,"58, 78, 85",N/A (No Dips),"FAIL (V-Shaped EB, SSR U/V ratio (med): 1.00)","U/V Ratio (Median-Norm): 1.00 | U/V Ratio (Mean-Norm): 1.00 (Median OOT: 1.001778, Mean OOT: 1.001757)",False Positive (Eclipsing Binary)
129198098,QLP,"16, 56, 83",N/A (No Dips),"FAIL (V-Shaped EB, SSR U/V ratio (med): 1.00)","U/V Ratio (Median-Norm): 1.00 | U/V Ratio (Mean-Norm): 1.00 (Median OOT: 1.000452, Mean OOT: 1.000617)",False Positive (Eclipsing Binary)
432121978,TGLC,"7, 34","FAIL (Odd depth: 0.0082, Even depth: -0.0003)","FAIL (V-Shaped EB, SSR U/V ratio (med): 0.85)","U/V Ratio (Median-Norm): 0.85 | U/V Ratio (Mean-Norm): 0.85 (Median OOT: 0.999871, Mean OOT: 0.999875)",False Positive (Eclipsing Binary)
